state,area,medianhouse,medianunit,code
SA,Adelaide,850000,439000,40070
SA,Adelaide Hills,505000,310000,40120
WA,Albany,390000,280000,50080
NSW,Albury,299000,180000,10050
SA,Alexandrina,336500,226250,40220
NT,Alice Springs,449500,345000,70200
VIC,Alpine,255000,212500,20110
VIC,Ararat,193000,,20260
WA,Armadale,410000,305000,50210
NSW,Armidale Dumaresq,337000,220000,10110
WA,Ashburton,640000,,50250
NSW,Ashfield,1350000,610000,10150
NSW,Auburn,850000,520000,10200
WA,Augusta-Margaret River,489000,300000,50280
VIC,Ballarat,292250,235000,20570
NSW,Ballina,518000,350000,10250
QLD,Balonne,225000,,30300
NSW,Balranald,131000,,10300
QLD,Banana,280000,,30370
NSW,Bankstown,755000,467250,10350
VIC,Banyule,622000,475000,20660
QLD,Barcaldine,140000,,30410
QLD,Barcoo,,,30450
NT,Barkly,276500,,70420
SA,Barossa,335000,202750,40310
SA,Barunga West,248750,,40430
VIC,Bass Coast,339000,262000,20740
WA,Bassendean,530000,375000,50350
NSW,Bathurst Regional,350000,236000,10470
VIC,Baw Baw,305000,240000,20830
VIC,Bayside,1255000,680000,20910
WA,Bayswater,610000,372500,50420
NSW,Bega Valley,373000,235000,10550
NSW,Bellingen,403000,275500,10600
WA,Belmont,570000,410000,50490
VIC,Benalla,237000,170000,21010
SA,Berri and Barmera,165000,90000,40520
NSW,Berrigan,180000,148000,10650
WA,Beverley,269000,,50560
QLD,Blackall Tambo,85000,,#N/A
NSW,Blacktown,580000,415000,10750
NSW,Bland,155000,,10800
NSW,Blayney,290000,,10850
NSW,Blue Mountains,471000,345000,10900
WA,Boddington,335000,,50630
NSW,Bogan,161250,,10950
NSW,Bombala,175000,,11000
NSW,Boorowa,250000,,11050
VIC,Boroondara,1570000,600000,21110
NSW,Botany Bay,1170750,560000,11100
QLD,Boulia,,,30900
NSW,Bourke,165000,,11150
WA,Boyup Brook,230000,,50770
TAS,Break O'Day,200000,,60210
NSW,Brewarrina,85000,,11200
WA,Bridgetown-Greenbushes,347500,,50840
TAS,Brighton,260000,205000,60410
VIC,Brimbank,415000,315000,21180
QLD,Brisbane,590400,423888,31000
NSW,Broken Hill,118000,,11250
WA,Brookton,160000,,50910
WA,Broome,585000,355000,50980
WA,Broomehill-Tambellup,107000,,51080
WA,Bruce Rock,120000,,51120
QLD,Bulloo,,,31750
VIC,Buloke,90000,,21270
WA,Bunbury,350000,320000,51190
QLD,Bundaberg,292500,265000,31820
QLD,Burdekin,220000,210000,31900
TAS,Burnie,218000,182500,60610
SA,Burnside,850000,413000,40700
NSW,Burwood,1370000,647750,11300
WA,Busselton,498000,407500,51260
NSW,Byron,644000,502500,11350
NSW,Cabonne,330000,,11400
QLD,Cairns,391000,219000,32080
WA,Cambridge,1250000,345000,51310
NSW,Camden,570000,387000,11450
VIC,Campaspe,252000,230000,21370
NSW,Campbelltown,470000,343000,11500
SA,Campbelltown,495000,343000,11500
NSW,Canada Bay,1477000,770000,11520
WA,Canning,595250,420000,51330
NSW,Canterbury,920000,460000,11550
WA,Capel,415000,,51400
VIC,Cardinia,358500,267000,21450
WA,Carnamah,109500,,51470
WA,Carnarvon,300000,,51540
QLD,Carpentaria,190000,,32250
NSW,Carrathool,122500,,11600
VIC,Casey,400001,305000,21610
QLD,Cassowary Coast,250000,62500,32260
SA,Ceduna,259000,,41010
TAS,Central Coast,255000,210000,60810
NSW,Central Darling,45000,,11700
VIC,Central Goldfields,200000,182000,21670
QLD,Central Highlands,300000,295000,32270
TAS,Central Highlands,120000,295000,32270
NSW,Cessnock,295000,270000,11720
WA,Chapman Valley,,,51610
SA,Charles Sturt,486000,379000,41060
QLD,Charters Towers,205000,,32310
WA,Chittering,555000,,51680
TAS,Circular Head,212500,194000,61210
SA,Clare and Gilbert Valleys,269500,,41140
WA,Claremont,1385000,735000,51750
TAS,Clarence,361000,281000,61410
NSW,Clarence Valley,312500,280000,11730
SA,Cleve,155000,,41190
QLD,Cloncurry,165750,,32450
NSW,Cobar,210000,,11750
WA,Cockburn,560000,415000,51820
NSW,Coffs Harbour,420000,270000,11800
VIC,Colac-Otway,269500,295000,21750
WA,Collie,220000,,51890
NSW,Conargo,,,11860
QLD,Cook,265000,,32500
NSW,Coolamon,180000,,12000
WA,Coolgardie,140000,,51960
NSW,Cooma-Monaro,258750,,12050
NT,Coomalie,370000,,70700
NSW,Coonamble,103500,,12150
WA,Coorow,290000,,52030
NSW,Cootamundra,188000,,12200
SA,Copper Coast,265000,225000,41560
VIC,Corangamite,219500,175000,21830
NSW,Corowa Shire,275000,163000,12300
WA,Corrigin,162500,,52100
WA,Cottesloe,1850000,800000,52170
NSW,Cowra,200000,141500,12350
WA,Cranbrook,165000,,52240
QLD,Croydon,,,32600
WA,Cuballing,,,52310
WA,Cue,,,52380
WA,Cunderdin,160750,,52450
WA,Dalwallinu,130000,,52520
WA,Dandaragan,367500,,52590
WA,Dardanup,378250,320000,52660
VIC,Darebin,690000,415000,21890
NT,Darwin,612750,472000,71000
WA,Denmark,440000,,52730
WA,Derby-West Kimberley,335000,,52800
TAS,Derwent Valley,221000,,61510
TAS,Devonport,240000,228250,61610
QLD,Diamantina,,,32750
WA,Donnybrook-Balingup,347000,,52870
TAS,Dorset,210000,,61810
QLD,Douglas,375250,240000,32810
WA,Dowerin,,,52940
NSW,Dubbo,320000,240000,12600
WA,Dumbleyung,,,53010
WA,Dundas,31000,,53080
NSW,Dungog,373500,,12700
WA,East Fremantle,1165000,530000,53150
VIC,East Gippsland,250000,240500,22110
WA,East Pilbara,635000,,53220
SA,Elliston,245000,,41750
WA,Esperance,370000,298000,53290
QLD,Etheridge,,,33100
NSW,Eurobodalla,370000,245000,12750
WA,Exmouth,528000,,53360
NSW,Fairfield,620000,365000,12850
QLD,Flinders,80000,,33200
TAS,Flinders,,,33200
SA,Flinders Ranges,136750,,41830
NSW,Forbes,200000,,12900
SA,Franklin Harbour,215000,,41960
VIC,Frankston,405000,306000,22170
QLD,Fraser Coast,305000,260000,33220
WA,Fremantle,770000,543550,53430
VIC,Gannawarra,150000,,22250
SA,Gawler,310000,196000,42030
TAS,George Town,175000,,62210
WA,Geraldton-Greenough,380000,280000,53800
NSW,Gilgandra,140000,,12950
WA,Gingin,445000,,53570
QLD,Gladstone,380000,310000,33360
TAS,Glamorgan/Spring Bay,285000,,62410
VIC,Glen Eira,1030000,550000,22310
NSW,Glen Innes Severn,180000,,13010
VIC,Glenelg,182500,210000,22410
TAS,Glenorchy,270000,215000,62610
NSW,Gloucester,247500,,13050
WA,Gnowangerup,100000,,53640
QLD,Gold Coast,535000,360000,33430
VIC,Golden Plains,352000,255000,22490
WA,Goomalling,,,53710
QLD,Goondiwindi,270000,,33610
NSW,Gosford,541250,390000,13100
WA,Gosnells,435000,343500,53780
NSW,Goulburn Mulwaree,330000,217500,13310
SA,Goyder,160000,,42110
SA,Grant,255000,,42250
NSW,Great Lakes,370000,286000,13320
VIC,Greater Bendigo,320000,232500,22620
VIC,Greater Dandenong,460000,320000,22670
VIC,Greater Geelong,386000,310000,22750
NSW,Greater Hume Shire,190000,,13340
VIC,Greater Shepparton,247500,205000,22830
NSW,Greater Taree,320000,206000,13380
NSW,Griffith,269500,193250,13450
NSW,Gundagai,182000,,13500
NSW,Gunnedah,280000,,13550
NSW,Guyra,227500,,13650
NSW,Gwydir,126750,,13660
QLD,Gympie,285000,274500,33620
WA,Halls Creek,,,53920
NSW,Harden,165000,,13700
WA,Harvey,390000,322000,53990
NSW,Hawkesbury,560000,386000,13800
NSW,Hay,185000,,13850
VIC,Hepburn,325000,302500,22910
QLD,Hinchinbrook,240000,,33800
VIC,Hindmarsh,89000,,22980
TAS,Hobart,500000,325000,62810
VIC,Hobsons Bay,620000,470000,23110
SA,Holdfast Bay,631000,395250,42600
NSW,Holroyd,690000,463500,13950
NSW,Hornsby,995000,600000,14000
VIC,Horsham,219500,191750,23190
VIC,Hume,366001,310000,23270
NSW,Hunters Hill,2042500,990000,14100
TAS,Huon Valley,300000,202500,63010
NSW,Hurstville,1050000,601000,14150
VIC,Indigo,260000,187500,23350
NSW,Inverell,236750,181500,14200
QLD,Ipswich,320000,291250,33960
WA,Irwin,360000,,54060
QLD,Isaac,220000,,33980
NSW,Jerilderie,145000,,14250
WA,Jerramungup,272500,,54130
WA,Joondalup,635000,420000,54170
NSW,Junee,185000,,14300
WA,Kalamunda,520000,340000,54200
WA,Kalgoorlie/Boulder,342500,280000,54280
SA,Kangaroo Island,255000,,42750
SA,Karoonda East Murray,150000,,43080
WA,Katanning,165000,,54340
NT,Katherine,390000,,72200
WA,Kellerberrin,120500,,54410
NSW,Kempsey,275000,210000,14350
WA,Kent,,,54480
TAS,Kentish,275000,,63210
NSW,Kiama,640000,430000,14400
SA,Kimba,,,43220
TAS,King Island,230000,,63410
TAS,Kingborough,400000,290000,63610
SA,Kingston,235000,,23430
VIC,Kingston,687500,,23430
VIC,Knox,575000,420000,23670
NSW,Kogarah,1205000,604000,14450
WA,Kojonup,215000,,54550
WA,Kondinin,127500,,54620
WA,Koorda,,,54690
NSW,Ku-ring-gai,1580000,750000,14500
WA,Kulin,,,54760
WA,Kwinana,370000,210000,54830
NSW,Kyogle,226500,,14550
NSW,Lachlan,145000,,14600
WA,Lake Grace,170500,,54900
NSW,Lake Macquarie,445000,360000,14650
NSW,Lane Cove,1720000,651000,14700
TAS,Latrobe,316000,221500,23810
VIC,Latrobe,215000,221500,23810
TAS,Launceston,260000,225000,64010
WA,Laverton,,,54970
NSW,Leeton,220000,147000,14750
NSW,Leichhardt,1260000,805000,14800
WA,Leonora,,,55040
SA,Light,350000,,43650
NSW,Lismore,340000,230250,14850
NT,Litchfield,635000,404600,72300
NSW,Lithgow,250000,175000,14870
NSW,Liverpool,612750,379000,14900
NSW,Liverpool Plains,182500,,14920
QLD,Livingstone,410000,285000,34530
NSW,Lockhart,125000,,14950
QLD,Lockhart River,,,34570
QLD,Lockyer Valley,309500,,34580
VIC,Loddon,135000,,23940
QLD,Logan,375000,243500,34590
QLD,Longreach,200000,,34710
SA,Lower Eyre Peninsula,315000,,43710
SA,Loxton Waikerie,197500,112500,43790
VIC,Macedon Ranges,445000,348000,24130
